criteria;planetary_boundary;source;individual_sustainable_package
Water use;219000000;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;0.027375
Ozone depletion;5.39E+08;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;6.74E-2
Human toxicity, cancer;9.62E+05;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;1.20E-4
Human toxicity, non-cancer;4.10E+06;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;5.13E-4
Photochemical ozone formation;4.07E+11;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;5.09E+1
Eutrophication, terrestrial;6.13E+12;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;7.66E+2
Eutrophication, freshwater;5.81E+09;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;7.26E-1
Eutrophication, marine;2.01E+11;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;2.52E+1
Ecotoxicity, freshwater;1.31E+14;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;1.64E+4
Land use;8.75E+15;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;1.09E+6
Resource use, fossils;2.24E+14;JRC, Consumption and Consumer Footprint: methodology and results, Indicators and assessment of the environmental impact of European consumption, 2023;2.80E+4